# L_m H_m fuel_kg V_kmh
1727.58 532.585 607.443 434.234
1733.61 532.577 609.284 434.574
1739.65 532.569 611.125 434.915
1745.69 532.56 612.966 435.255
1751.74 532.552 614.807 435.596
1757.79 532.544 616.648 435.936
1763.85 532.535 618.489 436.276
1769.91 532.527 620.33 436.616
1775.98 532.519 622.171 436.956
1782.05 532.51 624.012 437.296
1788.12 532.502 625.853 437.636
1794.2 532.494 627.693 437.975
1800.29 532.485 629.534 438.315
1806.38 532.477 631.375 438.654
1812.47 532.469 633.216 438.994
1818.57 532.46 635.057 439.333
1824.68 532.452 636.898 439.672
1830.79 532.444 638.739 440.011
1836.9 532.436 640.58 440.35
1843.02 532.427 642.421 440.688
1849.14 532.419 644.262 441.027
1855.27 532.411 646.103 441.366
1861.4 532.403 647.943 441.704
1867.54 532.394 649.784 442.042
1873.68 532.386 651.625 442.381
1879.83 532.378 653.466 442.719
1885.98 532.37 655.307 443.057
1892.13 532.362 657.148 443.395
1898.3 532.353 658.989 443.732
1904.46 532.345 660.83 444.07
1910.63 532.337 662.671 444.408
1916.81 532.329 664.512 444.745
1922.98 532.321 666.352 445.082
1929.17 532.312 668.193 445.42
1935.36 532.304 670.034 445.757
1941.55 532.296 671.875 446.094
1947.75 532.288 673.716 446.431
1953.95 532.28 675.557 446.768
1960.16 532.272 677.398 447.104
1966.37 532.263 679.239 447.441
1972.59 532.255 681.08 447.777
1978.81 532.247 682.92 448.114
1985.04 532.239 684.761 448.45
1991.27 532.231 686.602 448.786
1997.5 532.223 688.443 449.122
2003.74 532.215 690.284 449.458
2009.99 532.207 692.125 449.794
2016.24 532.199 693.966 450.13
2022.49 532.19 695.807 450.465
2028.75 532.182 697.647 450.801
2035.01 532.174 699.488 451.136
2041.28 532.166 701.329 451.471
2047.55 532.158 703.17 451.807
2053.83 532.15 705.011 452.142
2060.11 532.142 706.852 452.477
2066.4 532.134 708.693 452.811
2072.69 532.126 710.534 453.146
2078.99 532.118 712.374 453.481
2085.29 532.11 714.215 453.815
2091.59 532.102 716.056 454.15
2097.9 532.094 717.897 454.484
2104.22 532.086 719.738 454.818
2110.54 532.078 721.579 455.152
2116.86 532.07 723.42 455.486
2123.19 532.062 725.261 455.82
2129.52 532.054 727.101 456.154
2135.86 532.046 728.942 456.487
2142.2 532.038 730.783 456.821
2148.55 532.03 732.624 457.154
2154.9 532.022 734.465 457.488
2161.26 532.014 736.306 457.821
2167.62 532.006 738.147 458.154
2173.98 531.998 739.987 458.487
2180.35 531.99 741.828 458.82
